Station,Timestamp,Biochemical Oxygen Demand,Chemical Oxygen Demand,Chloride,Conductivity,Depth,Nitrate,"Oxygen, dissolved",River Stage,Total Organic Carbon,Water Temperature,Water Turbidity,pH
"UT67_Kheerveer Bridge,Kishundaspur Road,Pratapgarh",2025-10-22T17:30:00.000Z,2.35,14.22,43.01,463.7,0.92,2.1,7.84,76.12,6.04,29.93,108.07,8.02
"UK55_D/s of Har Ki Pauri, Dam Kothi, Haridwar",2025-10-22T17:30:00.000Z,0.5,5.0,5.25,252.55,0.88,0.3,8.79,283.28,1.0,19.91,0.0,8.35
"BH81_Road Bridge on Gandak, Hajipur",2025-10-22T17:30:00.000Z,2.16,11.9,33.31,284.98,0.84,0.3,7.75,55.08,5.95,26.72,111.4,8.62
"BH74_Road bridge on River Ganga, D/s of Buxar",2025-10-22T17:30:00.000Z,2.71,12.21,5.0,330.47,0.99,0.3,6.98,55.41,5.43,28.77,287.97,8.15
UT71_Beladandi Bridge on River Ramganga,2025-10-22T17:30:00.000Z,5.95,23.82,41.4,766.34,0.96,6.52,6.89,169.36,11.91,28.16,0.0,7.06
"BH80_Road bridge on Son, Arrah",2025-10-22T17:30:00.000Z,0.72,5.05,12.77,236.87,0.78,0.3,8.29,59.31,2.15,28.65,90.46,8.11
"UT60_Upstream of Gokul Barrage,D/s of Mathura city",2025-10-22T17:30:00.000Z,5.08,20.32,92.25,1069.25,0.79,0.58,8.85,161.99,10.16,28.34,91.02,7.08
"BH75_D/s of Bhagalpur, Road Bridge on River Ganga",2025-10-22T16:30:00.000Z,2.63,11.88,83.63,359.5,1.02,0.3,7.46,37.76,5.27,29.0,657.46,8.43
"WB86_Farakka Barrage, Road Bridge",2025-10-22T17:30:00.000Z,2.4,10.82,109.12,275.42,2.14,0.3,6.65,24.19,4.8,29.23,1291.0,8.1
"UT63_River Yamuna, U/s to Sangam at Allahabad",2025-10-22T17:30:00.000Z,3.83,17.51,31.67,293.7,1.15,3.14,8.18,92.21,7.97,30.25,155.32,8.29
"BH77_New Bridge, U/s of Patna city, Khurji",2025-10-22T17:30:00.000Z,2.71,12.2,25.02,388.77,0.82,0.3,7.43,51.36,5.42,29.21,96.29,7.87
JH84_Rajmahal at Malgodam,2025-10-22T17:30:00.000Z,2.39,11.42,,271.5,,0.3,6.75,,4.9,29.43,347.38,8.2
"BH78_Road bridge on Burhi Gandak, Khagaria",2025-10-22T17:30:00.000Z,2.24,10.08,26.15,217.95,0.84,0.3,6.68,38.41,4.48,29.44,76.66,7.94
UK53_D/s of Tehri Dam,2025-10-22T17:30:00.000Z,0.5,5.0,5.0,195.1,1.39,0.3,2.13,641.39,1.0,17.29,27.55,7.57
"BH73_Bridge on Ghagra near Manjhi, Chappra",2025-10-22T16:30:00.000Z,3.86,16.42,21.85,245.03,1.49,0.3,8.83,51.49,10.24,28.52,0.0,9.5
"UT70_Mawai Dham, Amauli, Fatehpur",2025-10-22T17:30:00.000Z,3.64,14.78,43.64,387.7,0.73,3.24,6.78,101.12,9.24,29.57,127.14,8.38
"UK51_Abandoned old  bridge, Rudraprayag ",2025-10-22T17:30:00.000Z,0.5,5.0,5.0,166.8,0.28,0.3,10.21,601.38,1.0,18.52,27.25,7.62
"UK52_D/s of Srinagar, Kirtinagar",2025-10-22T17:30:00.000Z,0.5,5.0,5.0,204.2,0.7,0.3,9.59,640.82,1.0,16.57,68.02,8.42
"BH76_Road bridge at Fathua on Punpun, Patna",2025-10-22T17:30:00.000Z,4.48,22.4,22.28,303.6,1.01,0.3,6.14,45.43,11.2,29.47,93.94,7.82
WB90_Damodar river Intake well pump house Ramgarh,2025-10-22T17:30:00.000Z,1.25,6.25,37.48,417.51,0.99,0.3,7.25,308.55,2.87,29.37,78.52,8.45
"JH82_Birsa Pool, Damodar River Bank,Pathardih",2025-10-22T14:30:00.000Z,2.39,10.79,99.45,545.45,0.68,0.3,7.62,133.67,4.79,29.29,2.14,8.25
"UT62_River Kosi, D/s of Kashipur, Darhiyal",2025-10-22T17:30:00.000Z,3.94,16.74,42.75,527.16,0.89,5.04,5.84,194.51,9.85,27.88,238.3,6.91
JH83_Sahebganj,2025-10-22T17:30:00.000Z,3.26,13.85,29.87,343.64,0.81,0.3,8.0,37.36,8.14,29.12,42.54,9.1
"WB88_Chinsura , Near Hooghly, Road Bridge",2025-10-22T17:30:00.000Z,2.27,9.61,29.52,255.4,3.97,0.3,6.72,16.64,4.42,30.29,115.3,8.12
"UT68_Korra Kanak, Asothar, Fatehpur.",2025-10-22T17:30:00.000Z,5.61,22.48,48.53,472.2,0.95,2.99,6.18,100.62,11.04,29.54,187.88,8.05
"UT59_River Kali East, D/s of Bulandshahr",2022-10-04T07:30:00.000Z,0.0,-999.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
WB85_Raghunathpur Thermal power plant Intake well.,2025-10-22T17:30:00.000Z,3.45,14.66,27.03,237.6,1.45,0.3,8.42,129.24,8.62,28.97,5.05,8.53
"UT64_Fafamau, Lord Curzon Bridge, Allahabad",2025-10-22T17:30:00.000Z,2.87,12.58,41.34,411.9,0.98,2.9,8.32,83.49,6.1,30.46,105.21,8.1
"UT66_Ghazipur, Abdul Hameed Setu on River Ganga",2025-10-22T17:30:00.000Z,5.28,22.35,46.75,454.8,1.21,2.08,7.11,62.11,11.02,29.86,159.56,8.13
"UT65_Balu ghat bridge, Chunar",2025-10-22T17:30:00.000Z,5.6,22.26,41.03,353.6,0.82,2.1,7.72,69.82,10.99,31.31,129.22,8.47
"HR56_D/s of Mohana, Sonipat",2025-10-22T17:30:00.000Z,4.35,19.15,28.28,291.1,0.83,9.85,4.97,207.01,10.88,24.43,145.19,8.07
WB87_Nabadwip Bathing Ghat,2025-10-22T17:30:00.000Z,1.0,5.74,77.44,299.33,0.93,0.3,5.9,9.52,2.87,29.66,86.77,7.1
"UT57_Bridge on Hindon river, Rajnagar Ext.Gzb",2025-10-22T17:30:00.000Z,7.18,28.21,200.0,484.38,0.28,2.23,6.41,206.47,14.72,25.89,218.78,7.38
"BH79_Road bridge on Kosi, Kursela",2025-10-22T17:30:00.000Z,2.75,12.79,5.0,175.82,0.88,0.3,7.68,35.92,5.85,28.42,168.63,7.88
"UT58_River Kali East, D/s Meerut city, Kaul vill.",2022-07-05T10:30:00.000Z,72.49,259.54,0.0,930.9,-0.05,50.0,0.2,222.95,108.74,37.56,139.0,7.14
"UT61_Near Galhita on River Hindon,Barnawa,Baghpat",2025-10-22T17:30:00.000Z,0.5,5.0,,40.79,,6.9,10.16,,1.0,23.93,271.6,8.8
"BH72_River Ganga at Chausa, U/s of Buxar ",2025-10-22T17:30:00.000Z,2.44,9.82,147.74,382.54,0.81,0.3,7.49,61.23,4.8,28.6,228.77,6.81
"WB89_Durgapur barrage, Road Bridge",2025-10-22T17:30:00.000Z,2.52,11.35,25.12,283.05,1.9,0.3,8.6,67.38,5.04,29.78,64.37,8.24
"UK54_Distributing Canal, Left Bank, Rishikesh",2025-10-22T17:30:00.000Z,0.5,5.0,,173.3,,0.3,7.74,,1.0,19.52,15.56,7.76
"UT69_Marhapur, Auraiya",2025-10-22T17:30:00.000Z,7.35,29.41,200.0,869.61,0.86,3.77,2.75,107.44,14.7,26.87,212.48,8.87
